2519064	1146396
2519099	1146376
2519172	1146333
2519227	1146295
2519292	1146234
2519339	1146164
2519367	1146121
2519407	1146108
2519429	1146136
2519472	1146129
2519482	1146096
2519507	1146073
2519537	1146045
2519542	1146013
2519542	1145965
2519570	1145977
2519555	1145940
2519662	1145927
2519745	1145877
2519802	1145854
2519862	1145831
2519935	1145826
2520022	1145834
2520077	1145834
2520185	1145829
2520265	1145803
2520327	1145796
2520387	1145803
2520472	1145829
2520510	1145839
2520658	1145929
2520768	1145985
2520825	1146005
2520873	1146045
2520875	1146124
2520880	1146169
2520903	1146217
2520930	1146247
2520965	1146267
2521033	1146297
2521093	1146330
2521135	1146338
2521203	1146396
2521258	1146418
2521350	1146509
2521398	1146537
2521488	1146617
2521553	1146675
2521585	1146685
2521728	1146786
2521828	1146844
2521853	1146854
2521921	1146842
2521911	1146869
2521976	1146902
2522033	1146907
2522066	1146925
2522188	1146953
2522333	1146983
2522391	1146968
2522471	1146975
2522591	1147013
2522656	1147026
2522711	1147048
2522793	1147053
2522856	1147074
2522903	1147071
2522961	1147071
2523079	1147104
2523154	1147104
2523211	1147126
2523319	1147167
2523364	1147182
2523421	1147220
2523489	1147260
2523546	1147275
2523611	1147293
2523751	1147336
2523831	1147384
2523894	1147401
2523934	1147396
2524004	1147447
2524039	1147469
2524056	1147535
2524059	1147578
2524064	1147623
2524101	1147661
2524182	1147696
2524162	1147724
2524187	1147749
2524329	1147867
2524404	1147923
2524454	1147963
2524527	1147968
2524554	1147966
2524679	1147940
2524777	1147940
2524819	1147925
2524952	1147908
2524977	1147938
2524934	1148132
2524939	1148172
2524924	1148220
2524919	1148268
2524969	1148467
2524982	1148613
2524987	1148646
2524994	1148674
2525049	1148764
2525112	1148843
2525142	1148855
2525252	1148953
2525325	1149024
2525410	1149092
2525457	1149142
2525517	1149205
2525540	1149241
2525570	1149284
2525622	1149301
2525792	1149339
2525830	1149331
2525895	1149324
2525940	1149311
2525990	1149294
2526025	1149276
2526052	1149253
2526087	1149243
2526140	1149251
2526202	1149271
2526242	1149304
2526312	1149301
2526347	1149309
2526355	1149349
2526450	1149372
2526533	1149392
2526555	1149442
2526578	1149495
2526575	1149722
2526578	1149813
2526583	1149921
2526610	1150007
2526648	1150085
2526770	1150249
2526825	1150319
2526890	1150428
2526943	1150460
2527038	1150428
2526953	1150478
2526970	1150541
2527023	1150569
2527073	1150569
2527150	1150554
2527203	1150599
2527330	1150654
2527418	1150667
2527423	1150692
2527480	1150682
2527475	1150753
2527498	1150818
2527513	1150785
2527563	1150743
2527600	1150750
2527696	1150864
2527728	1150906
2527783	1150952
2527753	1150964
2527758	1151012
2527776	1151053
2527813	1151085
2527866	1151136
2527891	1151116
2527911	1151151
2527988	1151219
2528006	1151244
2528111	1151446
2528111	1151483
2528088	1151509
2528053	1151526
2528043	1151579
2528048	1151609
2528063	1151645
2528088	1151675
2528131	1151733
2528161	1151771
2528201	1151783
2528288	1151849
2528346	1151909
2528393	1151950
2528466	1152003
2528563	1152045
2528693	1152071
2528809	1151982
2528889	1151929
2528959	1151940
2528956	1151977
2528979	1152126
2528986	1152066
2528999	1151965
2529041	1151962
2529079	1152005
2529109	1152005
2529206	1152068
2529339	1152043
2529386	1152035
2529549	1151967
2529641	1151932
2529709	1151904
2529851	1151841
2529951	1151771
